DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL_STUDENTS,COURSES MERGED,UTILIZATION
2025-12-17,13g00,CS2,H1-405,63,63,"CI2095(35), CO2003(28)",1.0
2025-12-17,13g00,CS2,H3-606,63,63,"ME3011(39), TR3143(24)",1.0
2025-12-17,13g00,CS2,H6-201,63,63,"CO3027(50), CI2095(13)",1.0
2025-12-17,13g00,CS2,H6-405,63,63,"CO1003(51), ME3011(12)",1.0
2025-12-17,13g00,CS2,H6-802,63,63,"EE3167(61), ME3011(2)",1.0
2025-12-17,13g00,CS2,H6-810,63,63,EE3075(63),1.0
2025-12-17,13g00,CS2,H6-208,62,62,"EE1007(19), CI1003(15), IM3087(15), ME2123(13)",1.0
2025-12-17,13g00,CS2,H2-202,62,30,"TR3143(12), CH2013(10), EE3075(6), ME2123(2)",0.4838709677419355
2025-12-17,15g30,CS1,B4-505,63,35,CH2045(35),0.5555555555555556
2025-12-17,15g30,CS2,H2-201,82,48,CH2045(48),0.5853658536585366
2025-12-18,07g00,CS1,B4-505,63,63,SP1039(63),1.0
2025-12-18,07g00,CS1,B4-406,57,57,SP1039(57),1.0
2025-12-18,07g00,CS1,C6-102,50,50,SP1039(50),1.0
2025-12-18,07g00,CS1,C6-103,50,50,SP1039(50),1.0
2025-12-18,07g00,CS1,B1-208,44,44,SP1039(44),1.0
2025-12-18,07g00,CS1,B1-306,44,44,SP1039(44),1.0
2025-12-18,07g00,CS1,B4-305,42,42,"ME1021(29), SP1039(13)",1.0
2025-12-18,07g00,CS1,B4-306,42,42,SP1039(42),1.0
2025-12-18,07g00,CS1,B4-501,42,42,SP1039(42),1.0
2025-12-18,07g00,CS1,B6-306,42,42,"MA5023(22), CI4193(16), EE5015(4)",1.0
2025-12-18,07g00,CS1,C4-502,42,42,SP1039(42),1.0
2025-12-18,07g00,CS1,C5-303,42,42,SP1039(42),1.0
2025-12-18,07g00,CS1,C5-401,42,25,"SP1039(11), EE5015(10), LA1027(4)",0.5952380952380952
2025-12-18,07g00,CS2,H2-201,82,82,SP1039(82),1.0
2025-12-18,07g00,CS2,H2-206,82,82,SP1039(82),1.0
2025-12-18,07g00,CS2,H2-301,82,82,SP1039(82),1.0
2025-12-18,07g00,CS2,H2-306,82,82,SP1039(82),1.0
2025-12-18,07g00,CS2,H2-401,82,82,SP1039(82),1.0
2025-12-18,07g00,CS2,H2-406,82,82,SP1039(82),1.0
2025-12-18,07g00,CS2,H6-811,79,79,SP1039(79),1.0
